var,coef,word frequency
management,0.550055917,128
focused,0.154497942,171
helping,-0.308325321,103
realise,-0.482658135,52
artist’s,0.073399245,42
visions,0.305574723,19
consist,-0.022178828,86
video,-0.138844486,412
creators,0.243921936,77
discovery,0.087833038,38
per,-0.096666525,121
se,0.021599779,35
additionally,-0.391926877,31
few,-0.890903518,52
brand,-0.085244964,97
applying,-0.308527432,52
second,0.798389277,151
hope,-0.213241659,207
mill,-0.15054679,37
oldham,-0.257219911,40
studio,0.286504629,468
modern,-0.233508818,179
northern,0.277418832,165
female,-0.205659408,598
friendship,0.493623519,54
f,-4.10E-05,15
talking,-0.26647951,37
led,0.223977624,903
leader,-0.388851738,38
evans,-0.407746001,15
girl,1.015625196,46
gang,-0.311269323,11
mark,-0.049690035,76
professionally,-0.179207772,68
north,0.094615149,344
west,0.232765051,301
her,-0.232454416,556
productions,-0.01666461,194
interested,-0.216129313,174
regional,-0.307808647,251
nottingham,0.568657646,113
playhouse,0.126102293,92
interdisciplinary,-0.335897318,95
50%,-0.267547985,56
character,0.102144168,121
animation,-0.098107144,133
motion,0.201245456,37
ai,-0.075979688,36
"
4",0.04402805,30
zoom,0.541402559,80
broadcast,0.040772614,93
hour,-0.364352145,145
hotel,0.346694688,25
500,-0.983780014,36
room,-0.307067967,134
location,0.210833461,115
media,-0.276347475,538
follows,-0.14632408,135
november,-1.172838629,81
bed,-0.286182612,13
successfully,0.856357958,50
100,-0.140890066,132
nationally,-0.362838,158
internationally,0.489481961,166
delivering,-0.385069232,253
no,-0.222729844,231
23,0.230948295,165
sector,-0.074797509,351
mh,0.614468515,12
saw,-0.260338005,39
huge,-0.015729669,59
demand,0.17120646,125
capacity,-0.19989559,182
enables,-0.584579407,87
sustained,-0.746568686,35
year,0.010546307,886
period,-0.199525483,447
lgbt,-0.2946744,132
difficulties,-0.891376916,44
ethnically,0.805454352,41
sessions,-0.066700309,925
push,0.010302352,41
safely,0.602340153,19
field,-0.202249615,99
considering,1.0084751,19
wellbeing,0.167004509,418
staged,-0.347122808,98
p,-0.103203523,14
m,0.004946012,12
s,0.033622443,30
van,-0.098047864,11
romantic,-0.211111292,23
adults,0.080665842,282
age,0.184989963,238
shown,0.37442524,98
tea,0.008865441,11
targeted,0.5172808,127
families,0.259299374,569
older,-0.010239891,199
incredibly,-0.7996894,15
connect,-0.393861619,331
breaking,-0.064105121,57
channels,-0.265728245,32
real,0.014816042,188
human,-0.048212025,179
upon,0.523268159,119
variety,0.268687227,163
under,0.021960048,384
nine,-0.82765627,24
whole,0.576316266,108
course,-0.350706863,184
/,-0.015637421,244
renowned,0.268645491,129
sustainable,-0.081598789,318
"practice
",0.298529574,23
site,0.335467656,272
bradford,0.490465776,78
open,0.1788213,835
bank,0.271080126,33
holiday,0.39314805,23
sited,-0.098589328,11
sites,0.538263123,82
secured,0.453937199,41
historical,-0.271571223,164
church,0.467076874,86
